,Mon_00,Mon_01,Mon_05,Mon_06,Mon_07,Mon_08,Mon_09,Mon_10,Mon_11,Mon_12,Mon_13,Mon_14,Mon_15,Mon_16,Mon_17,Mon_18,Mon_19,Mon_20,Mon_21,Mon_22,Mon_23,Tue_00,Tue_01,Tue_05,Tue_06,Tue_07,Tue_08,Tue_09,Tue_10,Tue_11,Tue_12,Tue_13,Tue_14,Tue_15,Tue_16,Tue_17,Tue_18,Tue_19,Tue_20,Tue_21,Tue_22,Tue_23,Wed_00,Wed_01,Wed_05,Wed_06,Wed_07,Wed_08,Wed_09,Wed_10,Wed_11,Wed_12,Wed_13,Wed_14,Wed_15,Wed_16,Wed_17,Wed_18,Wed_19,Wed_20,Wed_21,Wed_22,Wed_23,Thu_00,Thu_01,Thu_05,Thu_06,Thu_07,Thu_08,Thu_09,Thu_10,Thu_11,Thu_12,Thu_13,Thu_14,Thu_15,Thu_16,Thu_17,Thu_18,Thu_19,Thu_20,Thu_21,Thu_22,Thu_23,Fri_00,Fri_01,Fri_05,Fri_06,Fri_07,Fri_08,Fri_09,Fri_10,Fri_11,Fri_12,Fri_13,Fri_14,Fri_15,Fri_16,Fri_17,Fri_18,Fri_19,Fri_20,Fri_21,Fri_22,Fri_23,Sat_00,Sat_01,Sat_05,Sat_06,Sat_07,Sat_08,Sat_09,Sat_10,Sat_11,Sat_12,Sat_13,Sat_14,Sat_15,Sat_16,Sat_17,Sat_18,Sat_19,Sat_20,Sat_21,Sat_22,Sat_23,Sun_00,Sun_01,Sun_05,Sun_06,Sun_07,Sun_08,Sun_09,Sun_10,Sun_11,Sun_12,Sun_13,Sun_14,Sun_15,Sun_16,Sun_17,Sun_18,Sun_19,Sun_20,Sun_21,Sun_22,Sun_23,cluster_group,daily_ppl_avg,max_people_by_hr,max_weekday,max_hour,to,from,group_name,color,lat,long,code,Eng,站名
0,6.14,0.77,0.0,2.3,12.29,14.59,4.61,6.91,8.45,9.98,12.29,12.29,17.66,24.58,25.34,44.54,42.24,39.17,30.72,52.22,20.74,5.38,0.0,0.0,2.3,13.82,16.13,5.38,6.14,7.68,6.14,12.29,13.06,19.2,13.82,25.34,51.46,36.86,42.24,36.86,61.44,21.5,9.22,0.77,0.0,2.3,12.29,14.59,6.91,5.38,5.38,9.98,11.52,13.82,18.43,19.97,36.1,52.99,36.1,33.02,35.33,60.67,19.97,7.68,0.77,0.0,1.54,13.82,14.59,5.38,6.91,7.68,7.68,18.43,13.06,13.06,19.97,35.33,48.38,45.31,40.7,39.17,53.76,19.2,16.13,1.54,0.0,2.3,16.9,20.74,6.91,9.98,8.45,9.22,16.13,16.13,17.66,27.65,33.02,42.24,44.54,39.17,39.94,76.8,29.18,13.06,0.0,0.0,3.07,6.14,7.68,6.14,11.52,11.52,12.29,16.9,21.5,19.97,39.17,46.85,46.85,39.94,35.33,43.01,60.67,26.11,8.45,0.77,0.0,2.3,4.61,5.38,7.68,14.59,9.98,16.9,15.36,22.27,33.02,47.62,47.62,57.6,52.99,62.98,58.37,49.15,21.5,1,440.25,76.8,Fri,22,BL01,BL12,B,#2171b5,24.959437,121.418874,BL01,Dingpu,頂埔站
1,5.5,0.0,0.0,9.62,10.99,9.62,9.62,13.74,17.86,21.98,20.61,38.47,39.85,59.08,85.19,100.3,93.43,72.82,79.69,83.81,28.85,5.5,0.0,0.0,8.24,13.74,12.37,8.24,16.49,16.49,27.48,26.11,43.97,39.85,63.2,94.81,119.54,107.17,75.57,85.19,89.31,30.23,5.5,0.0,0.0,8.24,13.74,9.62,12.37,15.11,16.49,23.36,24.73,35.72,42.59,59.08,104.42,115.42,90.68,79.69,90.68,114.04,28.85,6.87,0.0,0.0,6.87,9.62,13.74,10.99,13.74,21.98,24.73,30.23,46.72,38.47,56.33,90.68,119.54,108.55,79.69,89.31,105.8,31.6,10.99,0.0,0.0,8.24,12.37,12.37,16.49,10.99,15.11,31.6,30.23,45.34,54.96,61.83,108.55,133.28,122.29,103.05,116.79,137.4,46.72,5.5,0.0,0.0,6.87,9.62,9.62,15.11,15.11,20.61,28.85,48.09,50.84,75.57,75.57,100.3,103.05,92.06,93.43,90.68,112.67,43.97,6.87,0.0,0.0,6.87,15.11,19.24,9.62,16.49,21.98,20.61,48.09,39.85,79.69,71.45,126.41,115.42,126.41,101.68,90.68,83.81,28.85,1,940.93,137.4,Fri,22,BL02,BL12,B,#2171b5,24.966803,121.43631699999999,BL02,Yongning,永寧站
2,1.52,0.0,0.0,2.27,3.79,3.79,5.31,6.82,7.58,10.61,9.85,18.95,13.64,25.01,42.45,53.06,47.75,34.11,37.9,51.54,14.4,3.03,0.0,0.0,2.27,4.55,6.82,6.06,8.34,10.61,9.85,9.85,10.61,18.95,28.05,37.14,58.37,52.3,41.69,49.27,58.37,15.16,2.27,0.0,0.0,2.27,6.06,6.06,8.34,6.06,8.34,10.61,12.89,19.71,19.71,24.26,34.87,68.22,47.75,46.24,45.48,65.19,13.64,3.03,0.0,0.0,2.27,5.31,4.55,6.82,7.58,5.31,12.13,11.37,15.92,16.68,22.74,36.38,66.7,46.24,45.48,44.72,53.82,15.92,4.55,0.76,0.0,3.03,7.58,9.85,9.1,5.31,8.34,12.89,16.68,18.95,21.22,28.05,44.72,62.91,49.27,45.48,54.58,75.8,24.26,6.82,0.76,0.0,3.03,6.82,4.55,5.31,6.06,8.34,14.4,21.22,27.29,25.01,37.14,52.3,43.96,28.8,47.0,55.33,49.27,25.77,3.79,0.0,0.0,3.03,2.27,4.55,6.06,7.58,8.34,14.4,19.71,21.22,33.35,40.93,59.88,47.75,47.0,53.06,52.3,46.24,18.95,1,450.69,75.8,Fri,22,BL03,BL12,B,#2171b5,24.973224,121.444157,BL03,Tucheng,土城站
3,13.76,0.0,0.0,5.5,11.01,13.76,11.01,11.01,22.02,22.02,30.27,33.02,60.54,74.3,104.58,195.39,154.11,134.85,126.59,192.64,60.54,13.76,0.0,0.0,5.5,13.76,11.01,13.76,13.76,19.26,27.52,33.02,35.78,60.54,77.06,96.32,217.41,159.62,132.1,137.6,220.16,60.54,16.51,0.0,0.0,5.5,11.01,11.01,11.01,13.76,16.51,24.77,35.78,38.53,52.29,71.55,101.82,225.66,173.38,126.59,129.34,225.66,63.3,16.51,0.0,0.0,5.5,13.76,11.01,11.01,13.76,22.02,30.27,38.53,38.53,57.79,74.3,112.83,209.15,159.62,129.34,134.85,217.41,60.54,27.52,0.0,0.0,8.26,11.01,11.01,13.76,16.51,22.02,24.77,38.53,44.03,68.8,82.56,132.1,217.41,162.37,148.61,156.86,275.2,85.31,22.02,0.0,0.0,2.75,8.26,5.5,13.76,16.51,19.26,44.03,46.78,66.05,71.55,118.34,145.86,154.11,115.58,129.34,156.86,220.16,74.3,19.26,0.0,0.0,5.5,13.76,16.51,11.01,11.01,16.51,38.53,49.54,55.04,66.05,110.08,145.86,159.62,115.58,123.84,132.1,154.11,57.79,1,1373.69,275.2,Fri,22,BL04,BL12,B,#2171b5,24.985428,121.44860800000001,BL04,Haishan,海山站
4,10.38,0.0,0.0,8.65,15.57,27.68,29.41,22.49,20.76,29.41,29.41,36.33,46.71,58.82,102.07,143.59,115.91,91.69,102.07,131.48,31.14,10.38,0.0,0.0,5.19,20.76,34.6,38.06,27.68,24.22,41.52,34.6,43.25,48.44,64.01,121.1,167.81,143.59,93.42,105.53,143.59,34.6,10.38,0.0,0.0,5.19,19.03,27.68,44.98,27.68,20.76,38.06,32.87,43.25,46.71,65.74,108.99,169.54,124.56,93.42,107.26,147.05,36.33,8.65,0.0,0.0,5.19,17.3,32.87,41.52,24.22,25.95,27.68,29.41,43.25,48.44,65.74,124.56,169.54,136.67,108.99,126.29,138.4,34.6,15.57,0.0,0.0,5.19,19.03,36.33,39.79,22.49,25.95,32.87,34.6,46.71,62.28,72.66,115.91,164.35,141.86,117.64,143.59,173.0,53.63,15.57,0.0,0.0,6.92,8.65,15.57,13.84,24.22,19.03,44.98,48.44,62.28,64.01,76.12,117.64,88.23,91.69,83.04,105.53,140.13,44.98,15.57,0.0,0.0,3.46,3.46,12.11,13.84,15.57,20.76,34.6,46.71,38.06,58.82,76.12,108.99,98.61,91.69,91.69,93.42,103.8,38.06,1,1141.85,173.0,Fri,22,BL05,BL12,B,#2171b5,24.998037,121.452514,BL05,Far Eastern Hospital,亞東醫院站
5,17.15,0.0,0.0,2.86,8.57,14.29,17.15,34.3,37.15,48.59,60.02,71.45,88.6,111.46,174.34,228.64,165.76,148.62,154.33,194.34,42.87,14.29,0.0,0.0,5.72,8.57,14.29,20.01,28.58,34.3,45.73,57.16,74.31,94.31,94.31,171.48,248.65,177.2,145.76,180.05,222.92,42.87,17.15,0.0,0.0,2.86,8.57,20.01,20.01,20.01,34.3,51.44,60.02,71.45,91.46,105.75,191.49,254.36,194.34,151.47,180.05,205.78,45.73,25.72,0.0,0.0,2.86,5.72,14.29,20.01,25.72,42.87,60.02,62.88,80.02,85.74,114.32,168.62,260.08,185.77,171.48,182.91,234.36,42.87,28.58,0.0,0.0,2.86,8.57,17.15,20.01,37.15,40.01,51.44,74.31,85.74,100.03,145.76,205.78,280.08,225.78,174.34,222.92,285.8,68.59,22.86,0.0,0.0,5.72,11.43,17.15,31.44,40.01,51.44,82.88,108.6,137.18,140.04,194.34,240.07,225.78,174.34,168.62,200.06,225.78,65.73,14.29,0.0,0.0,2.86,8.57,17.15,22.86,40.01,51.44,71.45,102.89,102.89,120.04,157.19,211.49,211.49,162.91,151.47,160.05,154.33,42.87,1,1834.38,285.8,Fri,22,BL06,BL12,B,#2171b5,25.008395,121.45894799999999,BL06,Fuzhong,府中站
6,20.69,0.0,0.0,10.34,31.03,31.03,31.03,44.82,48.27,72.41,96.54,93.1,124.13,144.82,206.88,286.18,220.67,158.61,179.3,227.57,58.62,20.69,0.0,0.0,10.34,37.93,41.38,31.03,44.82,51.72,75.86,86.2,113.78,117.23,127.58,206.88,320.66,206.88,168.95,193.09,244.81,55.17,13.79,0.0,0.0,10.34,31.03,44.82,31.03,44.82,55.17,72.41,93.1,96.54,117.23,127.58,224.12,313.77,206.88,175.85,189.64,244.81,51.72,17.24,0.0,0.0,10.34,37.93,37.93,37.93,41.38,51.72,79.3,86.2,93.1,117.23,141.37,220.67,306.87,206.88,186.19,213.78,248.26,58.62,24.14,0.0,0.0,10.34,34.48,44.82,41.38,44.82,58.62,93.1,120.68,117.23,148.26,179.3,268.94,344.8,258.6,210.33,255.15,303.42,82.75,24.14,0.0,0.0,10.34,17.24,31.03,34.48,62.06,75.86,113.78,141.37,158.61,193.09,227.57,320.66,241.36,199.98,196.54,196.54,234.46,82.75,27.58,0.0,0.0,6.9,17.24,27.58,31.03,51.72,75.86,99.99,127.58,137.92,179.3,227.57,293.08,268.94,217.22,189.64,179.3,179.3,65.51,1,2310.16,344.8,Fri,18,BL07,BL12,B,#2171b5,25.0146,121.46253,BL07,Banqiao,板橋站
7,23.56,0.0,0.0,11.78,15.71,35.35,35.35,43.2,47.13,66.77,62.84,94.26,102.12,141.39,231.72,329.91,263.14,219.94,231.72,263.14,66.77,27.49,0.0,0.0,7.86,23.56,39.28,47.13,43.2,51.06,70.69,90.33,90.33,102.12,141.39,267.07,384.9,267.07,208.16,239.58,310.27,70.69,23.56,0.0,0.0,11.78,23.56,39.28,43.2,43.2,54.99,74.62,78.55,86.4,113.9,141.39,251.36,392.75,274.92,216.01,267.07,310.27,62.84,19.64,0.0,0.0,7.86,27.49,35.35,43.2,43.2,51.06,62.84,82.48,94.26,109.97,121.75,243.5,392.75,271.0,216.01,290.64,310.27,78.55,39.28,0.0,0.0,11.78,23.56,43.2,51.06,43.2,58.91,70.69,90.33,106.04,121.75,161.03,267.07,384.9,278.85,251.36,302.42,377.04,109.97,31.42,0.0,0.0,11.78,15.71,31.42,39.28,39.28,62.84,90.33,125.68,133.54,153.17,200.3,278.85,243.5,196.38,200.3,247.43,306.35,86.4,23.56,0.0,0.0,7.86,19.64,39.28,31.42,43.2,51.06,94.26,106.04,125.68,137.46,184.59,259.22,255.29,208.16,200.3,235.65,208.16,70.69,1,2483.33,392.75,Wed,18,BL08,BL12,B,#2171b5,25.024181,121.46822900000001,BL08,Xinpu,新埔站
8,16.84,0.0,0.0,5.61,14.03,39.28,28.06,22.45,33.67,44.9,53.31,56.12,81.37,106.63,159.94,218.87,173.97,145.91,162.75,188.0,56.12,16.84,0.0,0.0,8.42,16.84,53.31,39.28,30.87,33.67,47.7,58.93,61.73,75.76,92.6,171.17,255.35,182.39,145.91,157.14,193.61,58.93,16.84,0.0,0.0,2.81,14.03,44.9,36.48,25.25,25.25,47.7,58.93,56.12,75.76,103.82,165.55,246.93,188.0,143.11,171.17,202.03,56.12,16.84,0.0,0.0,5.61,14.03,44.9,39.28,25.25,28.06,39.28,61.73,53.31,81.37,89.79,165.55,235.7,179.58,154.33,179.58,196.42,58.93,22.45,0.0,0.0,5.61,16.84,50.51,30.87,28.06,30.87,44.9,64.54,70.15,92.6,109.43,173.97,255.35,199.23,190.81,207.64,280.6,81.37,25.25,0.0,0.0,5.61,11.22,28.06,28.06,30.87,47.7,75.76,86.99,84.18,112.24,131.88,185.2,162.75,137.49,126.27,162.75,188.0,67.34,19.64,0.0,0.0,5.61,19.64,22.45,28.06,36.48,39.28,58.93,72.96,81.37,103.82,145.91,179.58,173.97,148.72,137.49,157.14,143.11,64.54,1,1706.51,280.6,Fri,22,BL09,BL12,B,#2171b5,25.030128,121.472356,BL09,Jiangzicui,江子翠站
9,19.22,0.0,0.0,16.81,24.02,60.05,93.68,98.48,110.49,110.49,117.7,151.33,136.91,141.72,148.92,177.75,153.73,124.9,129.71,108.09,38.43,14.41,0.0,0.0,14.41,26.42,57.65,91.28,98.48,98.48,100.88,103.29,136.91,136.91,136.91,170.54,194.56,136.91,110.49,127.31,98.48,26.42,12.01,0.0,0.0,16.81,26.42,52.84,79.27,84.07,98.48,115.3,124.9,122.5,120.1,124.9,151.33,177.75,168.14,129.71,132.11,108.09,36.03,14.41,0.0,0.0,14.41,26.42,52.84,79.27,93.68,91.28,105.69,117.7,122.5,124.9,146.52,148.92,187.36,148.92,129.71,144.12,105.69,26.42,24.02,0.0,0.0,12.01,26.42,57.65,88.87,93.68,91.28,120.1,132.11,158.53,156.13,160.93,196.96,220.98,172.94,146.52,168.14,160.93,50.44,21.62,0.0,0.0,16.81,40.83,74.46,129.71,151.33,163.34,168.14,199.37,208.97,218.58,211.38,240.2,213.78,156.13,151.33,146.52,127.31,45.64,19.22,0.0,0.0,16.81,28.82,72.06,120.1,165.74,136.91,163.34,172.94,182.55,199.37,206.57,206.57,189.76,168.14,165.74,148.92,105.69,50.44,0,2149.19,240.2,Sat,17,BL10,BL12,A,#08306b,25.035279,121.499826,BL10,Longshan Temple,龍山寺站
