,Mon_00,Mon_01,Mon_05,Mon_06,Mon_07,Mon_08,Mon_09,Mon_10,Mon_11,Mon_12,Mon_13,Mon_14,Mon_15,Mon_16,Mon_17,Mon_18,Mon_19,Mon_20,Mon_21,Mon_22,Mon_23,Tue_00,Tue_01,Tue_05,Tue_06,Tue_07,Tue_08,Tue_09,Tue_10,Tue_11,Tue_12,Tue_13,Tue_14,Tue_15,Tue_16,Tue_17,Tue_18,Tue_19,Tue_20,Tue_21,Tue_22,Tue_23,Wed_00,Wed_01,Wed_05,Wed_06,Wed_07,Wed_08,Wed_09,Wed_10,Wed_11,Wed_12,Wed_13,Wed_14,Wed_15,Wed_16,Wed_17,Wed_18,Wed_19,Wed_20,Wed_21,Wed_22,Wed_23,Thu_00,Thu_01,Thu_05,Thu_06,Thu_07,Thu_08,Thu_09,Thu_10,Thu_11,Thu_12,Thu_13,Thu_14,Thu_15,Thu_16,Thu_17,Thu_18,Thu_19,Thu_20,Thu_21,Thu_22,Thu_23,Fri_00,Fri_01,Fri_05,Fri_06,Fri_07,Fri_08,Fri_09,Fri_10,Fri_11,Fri_12,Fri_13,Fri_14,Fri_15,Fri_16,Fri_17,Fri_18,Fri_19,Fri_20,Fri_21,Fri_22,Fri_23,Sat_00,Sat_01,Sat_05,Sat_06,Sat_07,Sat_08,Sat_09,Sat_10,Sat_11,Sat_12,Sat_13,Sat_14,Sat_15,Sat_16,Sat_17,Sat_18,Sat_19,Sat_20,Sat_21,Sat_22,Sat_23,Sun_00,Sun_01,Sun_05,Sun_06,Sun_07,Sun_08,Sun_09,Sun_10,Sun_11,Sun_12,Sun_13,Sun_14,Sun_15,Sun_16,Sun_17,Sun_18,Sun_19,Sun_20,Sun_21,Sun_22,Sun_23,cluster_group,daily_ppl_avg,max_people_by_hr,max_weekday,max_hour,to,from,group_name,color,lat,long,code,Eng,站名
0,0.91,0.0,0.0,11.86,32.85,71.18,31.94,23.72,26.46,23.72,27.38,23.72,14.6,19.16,22.81,40.15,21.9,10.04,5.48,2.74,1.82,0.0,0.0,0.0,11.86,38.32,91.25,30.11,24.64,21.9,20.08,24.64,14.6,15.51,11.86,22.81,49.28,19.16,9.12,6.39,1.82,0.91,0.0,0.0,0.0,15.51,42.89,89.42,30.11,20.99,24.64,20.08,25.55,22.81,18.25,12.78,14.6,46.54,20.08,6.39,4.56,3.65,0.91,0.0,0.0,0.0,14.6,40.15,87.6,36.5,22.81,22.81,21.9,24.64,16.42,11.86,12.78,14.6,45.62,24.64,10.04,4.56,3.65,1.82,0.0,0.0,0.0,20.99,44.71,76.65,32.85,24.64,26.46,26.46,33.76,27.38,19.16,16.42,27.38,56.58,31.02,12.78,8.21,5.48,2.74,0.0,0.0,0.0,12.78,21.9,41.06,42.89,43.8,41.98,51.1,41.98,35.59,23.72,29.2,29.2,26.46,15.51,7.3,5.48,4.56,3.65,0.0,0.0,0.0,15.51,26.46,60.22,52.01,74.82,63.87,50.19,41.06,42.89,27.38,31.94,32.85,29.2,14.6,10.04,9.12,0.91,1.82,0,459.69,91.25,Tue,8,BL12,BL01,A,#67000d,24.959437,121.418874,BL01,Dingpu,頂埔站
1,1.48,0.0,0.0,13.32,66.6,111.0,85.84,54.76,53.28,45.88,50.32,38.48,32.56,31.08,44.4,51.8,23.68,13.32,8.88,5.92,2.96,1.48,0.0,0.0,17.76,88.8,148.0,93.24,60.68,56.24,42.92,50.32,34.04,26.64,23.68,39.96,47.36,20.72,8.88,8.88,4.44,2.96,1.48,0.0,0.0,16.28,81.4,145.04,91.76,63.64,57.72,38.48,47.36,32.56,23.68,26.64,47.36,53.28,23.68,13.32,5.92,2.96,4.44,1.48,0.0,0.0,17.76,82.88,145.04,81.4,66.6,48.84,45.88,51.8,31.08,26.64,28.12,48.84,60.68,25.16,11.84,7.4,5.92,2.96,1.48,0.0,0.0,19.24,87.32,137.64,82.88,62.16,54.76,50.32,54.76,42.92,44.4,32.56,51.8,78.44,47.36,17.76,13.32,10.36,4.44,1.48,0.0,0.0,13.32,44.4,71.04,72.52,85.84,90.28,93.24,91.76,71.04,53.28,45.88,48.84,47.36,20.72,22.2,14.8,13.32,5.92,1.48,0.0,0.0,11.84,35.52,87.32,94.72,91.76,112.48,90.28,81.4,63.64,59.2,38.48,51.8,48.84,22.2,16.28,16.28,7.4,2.96,0,828.54,148.0,Tue,8,BL12,BL02,A,#67000d,24.966803,121.43631699999999,BL02,Yongning,永寧站
2,0.81,0.0,0.0,12.9,29.02,66.9,32.24,29.82,30.63,25.79,28.21,17.73,20.15,12.09,16.12,17.73,8.87,9.67,3.22,1.61,0.81,0.0,0.0,0.0,16.12,36.27,74.15,33.85,30.63,32.24,25.79,31.43,18.54,11.28,12.09,23.37,21.76,8.87,5.64,2.42,1.61,0.81,1.61,0.0,0.0,18.54,33.85,78.18,40.3,33.85,33.85,29.02,29.02,14.51,10.48,16.93,24.18,24.99,10.48,7.25,3.22,2.42,0.81,0.0,0.0,0.0,18.54,29.82,78.99,39.49,32.24,33.85,22.57,28.21,15.31,16.93,12.09,16.93,21.76,6.45,8.06,4.03,1.61,2.42,1.61,0.0,0.0,19.34,34.66,80.6,38.69,36.27,29.02,24.18,29.02,23.37,16.12,15.31,26.6,30.63,20.96,10.48,4.84,2.42,3.22,0.81,0.0,0.0,12.09,20.96,38.69,47.55,53.2,47.55,47.55,46.75,34.66,27.4,21.76,23.37,23.37,9.67,10.48,4.84,5.64,0.81,0.0,0.0,0.0,9.67,17.73,49.17,54.0,53.2,43.52,41.11,49.17,35.46,25.79,20.96,25.79,19.34,13.7,13.7,4.84,2.42,0.81,0,422.83,80.6,Fri,8,BL12,BL03,A,#67000d,24.973224,121.444157,BL03,Tucheng,土城站
3,0.0,0.0,0.0,30.2,107.06,222.35,101.56,87.84,79.6,68.62,82.35,57.64,46.67,60.39,65.88,60.39,30.2,13.73,13.73,10.98,5.49,0.0,0.0,0.0,38.43,131.76,274.5,120.78,74.12,74.12,65.88,76.86,52.16,41.18,49.41,57.64,63.14,19.22,13.73,8.24,10.98,5.49,0.0,0.0,0.0,35.68,126.27,263.52,118.04,82.35,71.37,63.14,76.86,60.39,38.43,41.18,54.9,68.62,30.2,13.73,10.98,8.24,5.49,2.74,0.0,0.0,32.94,129.01,260.77,112.54,82.35,74.12,57.64,82.35,49.41,41.18,38.43,52.16,74.12,24.7,13.73,10.98,10.98,2.74,5.49,0.0,0.0,43.92,123.52,263.52,109.8,87.84,87.84,68.62,82.35,68.62,52.16,49.41,74.12,87.84,43.92,27.45,19.22,13.73,8.24,2.74,0.0,0.0,41.18,79.6,118.04,137.25,112.54,126.27,126.27,137.25,104.31,74.12,68.62,98.82,68.62,35.68,21.96,13.73,13.73,8.24,0.0,0.0,0.0,27.45,60.39,137.25,134.5,120.78,131.76,118.04,123.52,101.56,74.12,68.62,71.37,54.9,30.2,24.7,10.98,10.98,8.24,0,1237.06,274.5,Tue,8,BL12,BL04,A,#67000d,24.985428,121.44860800000001,BL04,Haishan,海山站
4,2.55,0.0,0.0,28.05,86.7,191.25,102.0,73.95,63.75,71.4,63.75,61.2,51.0,53.55,79.05,66.3,43.35,17.85,15.3,7.65,2.55,0.0,0.0,0.0,35.7,114.75,244.8,117.3,79.05,66.3,68.85,68.85,63.75,56.1,53.55,81.6,68.85,40.8,20.4,17.85,7.65,5.1,2.55,0.0,0.0,33.15,114.75,255.0,130.05,79.05,73.95,71.4,68.85,58.65,51.0,48.45,73.95,61.2,51.0,17.85,20.4,7.65,5.1,2.55,0.0,0.0,28.05,119.85,242.25,114.75,84.15,71.4,71.4,68.85,51.0,51.0,56.1,81.6,81.6,40.8,17.85,17.85,10.2,5.1,2.55,0.0,0.0,35.7,114.75,239.7,119.85,81.6,71.4,84.15,76.5,68.85,58.65,61.2,86.7,96.9,56.1,28.05,17.85,10.2,7.65,2.55,0.0,0.0,30.6,53.55,99.45,102.0,114.75,117.3,109.65,130.05,91.8,73.95,63.75,84.15,48.45,28.05,20.4,12.75,7.65,5.1,0.0,0.0,0.0,20.4,35.7,102.0,96.9,86.7,102.0,102.0,107.1,76.5,58.65,51.0,56.1,40.8,22.95,22.95,12.75,10.2,2.55,0,1177.62,255.0,Wed,8,BL12,BL05,A,#67000d,24.998037,121.452514,BL05,Far Eastern Hospital,亞東醫院站
5,0.0,0.0,0.0,42.67,115.8,231.61,149.33,124.95,97.52,112.76,134.09,100.57,97.52,79.24,100.57,85.33,57.9,27.43,30.48,24.38,6.1,3.05,0.0,0.0,42.67,140.18,286.46,176.76,118.85,103.62,112.76,121.9,97.52,70.09,67.04,112.76,94.47,57.9,30.48,27.43,30.48,12.19,0.0,0.0,0.0,51.81,140.18,292.56,161.52,115.8,91.42,100.57,106.66,103.62,73.14,76.19,100.57,112.76,48.76,30.48,33.52,24.38,9.14,3.05,0.0,0.0,42.67,146.28,304.75,164.56,118.85,103.62,109.71,118.85,97.52,67.04,73.14,112.76,115.8,57.9,33.52,36.57,24.38,9.14,6.1,0.0,0.0,51.81,146.28,301.7,179.8,124.95,112.76,112.76,121.9,118.85,94.47,88.38,121.9,137.14,73.14,39.62,48.76,48.76,24.38,6.1,0.0,0.0,51.81,88.38,134.09,161.52,173.71,179.8,198.09,198.09,167.61,146.28,149.33,155.42,118.85,73.14,64.0,39.62,42.67,18.28,3.05,0.0,0.0,36.57,60.95,146.28,167.61,158.47,201.14,210.28,188.94,164.56,127.99,118.85,127.99,118.85,64.0,48.76,36.57,24.38,12.19,0,1840.15,304.75,Thu,8,BL12,BL06,A,#67000d,25.008395,121.45894799999999,BL06,Fuzhong,府中站
6,0.0,0.0,0.0,31.49,108.78,229.0,120.22,108.78,100.19,103.05,123.09,117.36,100.19,97.32,154.58,131.68,71.56,40.08,37.21,25.76,5.72,2.86,0.0,0.0,34.35,120.22,286.25,137.4,105.91,105.91,111.64,123.09,97.32,74.42,88.74,174.61,163.16,65.84,34.35,34.35,28.62,8.59,0.0,0.0,0.0,42.94,123.09,283.39,120.22,100.19,97.32,111.64,123.09,103.05,88.74,74.42,163.16,160.3,80.15,37.21,37.21,34.35,11.45,2.86,0.0,0.0,31.49,114.5,274.8,117.36,105.91,91.6,111.64,128.81,88.74,88.74,91.6,171.75,171.75,88.74,42.94,37.21,34.35,8.59,5.72,0.0,0.0,40.08,120.22,277.66,125.95,117.36,97.32,137.4,137.4,114.5,100.19,114.5,214.69,220.41,128.81,62.98,60.11,54.39,20.04,5.72,0.0,0.0,34.35,71.56,128.81,140.26,151.71,180.34,194.65,229.0,180.34,177.48,168.89,177.48,131.68,85.88,65.84,54.39,42.94,14.31,2.86,0.0,0.0,28.62,40.08,140.26,145.99,143.12,186.06,194.65,191.79,166.02,174.61,154.58,157.44,117.36,83.01,60.11,54.39,34.35,14.31,0,1939.55,286.25,Tue,8,BL12,BL07,A,#67000d,25.0146,121.46253,BL07,Banqiao,板橋站
7,0.0,0.0,0.0,54.14,157.92,360.96,184.99,135.36,130.85,121.82,139.87,117.31,112.8,108.29,126.34,130.85,76.7,45.12,36.1,22.56,9.02,0.0,0.0,0.0,58.66,198.53,446.69,216.58,139.87,130.85,121.82,139.87,112.8,94.75,94.75,162.43,157.92,76.7,45.12,36.1,27.07,9.02,0.0,0.0,0.0,54.14,194.02,442.18,216.58,144.38,130.85,135.36,144.38,121.82,108.29,94.75,130.85,162.43,76.7,36.1,36.1,27.07,9.02,0.0,0.0,0.0,63.17,198.53,446.69,198.53,144.38,126.34,130.85,144.38,112.8,94.75,99.26,135.36,175.97,85.73,49.63,36.1,27.07,13.54,4.51,0.0,0.0,63.17,189.5,451.2,207.55,148.9,130.85,144.38,148.9,121.82,112.8,130.85,166.94,207.55,121.82,63.17,49.63,40.61,18.05,0.0,0.0,0.0,76.7,121.82,194.02,203.04,189.5,194.02,230.11,234.62,189.5,144.38,162.43,175.97,135.36,72.19,49.63,49.63,27.07,13.54,0.0,0.0,0.0,45.12,67.68,189.5,189.5,184.99,239.14,212.06,248.16,180.48,162.43,130.85,135.36,103.78,72.19,45.12,45.12,27.07,4.51,0,2310.09,451.2,Fri,8,BL12,BL08,A,#67000d,25.024181,121.46822900000001,BL08,Xinpu,新埔站
8,0.0,0.0,0.0,39.41,123.86,239.28,106.97,84.45,92.9,92.9,92.9,64.74,70.38,61.93,78.82,98.52,59.11,28.15,28.15,19.71,8.44,0.0,0.0,0.0,47.86,154.83,273.06,121.04,90.08,76.01,81.63,87.26,70.38,47.86,56.3,70.38,95.71,59.11,33.78,33.78,22.52,8.44,2.82,0.0,0.0,47.86,140.75,281.5,126.68,87.26,87.26,81.63,92.9,67.56,56.3,56.3,81.63,115.42,56.3,36.6,28.15,22.52,11.26,0.0,0.0,0.0,47.86,146.38,275.87,112.6,87.26,84.45,87.26,90.08,64.74,47.86,53.48,73.19,112.6,59.11,33.78,36.6,19.71,8.44,0.0,0.0,0.0,47.86,140.75,270.24,121.04,87.26,87.26,95.71,92.9,78.82,64.74,59.11,92.9,160.45,90.08,59.11,42.22,36.6,14.08,2.82,0.0,0.0,53.48,84.45,135.12,132.3,126.68,140.75,143.56,160.45,132.3,109.79,98.52,118.23,104.16,50.67,39.41,36.6,30.96,16.89,2.82,0.0,0.0,30.96,47.86,132.3,132.3,121.04,132.3,143.56,135.12,118.23,104.16,87.26,101.34,84.45,64.74,53.48,36.6,22.52,5.63,0,1521.99,281.5,Wed,8,BL12,BL09,A,#67000d,25.030128,121.472356,BL09,Jiangzicui,江子翠站
9,2.44,0.0,0.0,41.52,75.72,134.34,127.01,141.66,170.98,161.21,134.34,127.01,134.34,136.78,166.09,141.66,100.14,78.16,61.06,24.42,14.66,2.44,0.0,0.0,41.52,85.49,156.32,112.36,122.12,158.76,144.11,141.66,122.12,117.24,129.45,141.66,129.45,92.82,75.72,68.39,39.08,14.66,0.0,0.0,0.0,36.64,70.83,144.11,117.24,112.36,131.9,134.34,119.68,119.68,127.01,129.45,151.44,141.66,87.93,75.72,68.39,24.42,12.21,2.44,0.0,0.0,41.52,75.72,156.32,129.45,119.68,131.9,131.9,136.78,117.24,114.8,127.01,153.88,153.88,105.03,75.72,75.72,36.64,14.66,4.88,0.0,0.0,41.52,87.93,139.22,122.12,131.9,158.76,153.88,153.88,127.01,134.34,141.66,190.52,168.53,134.34,90.37,83.04,46.41,21.98,4.88,0.0,0.0,46.41,63.5,112.36,148.99,170.98,207.61,217.38,212.5,224.71,192.96,207.61,217.38,180.74,134.34,112.36,102.58,56.18,24.42,4.88,0.0,0.0,31.75,58.62,114.8,151.44,185.63,244.25,227.15,222.27,227.15,205.17,205.17,217.38,175.86,131.9,100.14,78.16,39.08,24.42,2,2138.69,244.25,Sun,11,BL12,BL10,C,#fc9272,25.035279,121.499826,BL10,Longshan Temple,龍山寺站
