編號,站名,lat,long,code,Eng,Eng2
1,忠孝復興站,25.041629,121.543767,BL15,Zhongxiao Fuxing,0
2,南港展覽館站,25.055385,121.618266,BL23,Taipei Nangang Exhibition Center,0
3,松山機場站,25.063021,121.551772,BR13,Songshan Airport,0
4,中山國中站,25.060848,121.544226,BR12,Zhongshan Junior High School,0
5,南京復興站,25.052095,121.544352,G16,Nanjing Fuxing,0
6,大安站,25.033226,121.543908,R05,Daan,0
7,科技大樓站,25.026124,121.543437,BR08,Technology Building,0
8,六張犁站,25.023698,121.551620,BR07,Liuzhangli,0
9,麟光站,25.015464,121.561065,BR06,Linguang,0
10,辛亥站,25.005475,121.557107,BR05,Xinhai,0
11,萬芳醫院站,24.999389,121.558201,BR04,Wanfang Hospital,0
12,萬芳社區站,24.998607,121.568069,BR03,Wanfang Community,0
13,木柵站,24.998240,121.573145,BR02,Muzha,0
14,動物園站,24.998259,121.579430,BR01,Taipei Zoo,0
15,大直站,25.079476,121.546894,BR14,Dazhi,Shih Chien University
16,劍南路站,25.084853,121.555592,BR15,Jiannan Road,Miramar
17,西湖站,25.082133,121.567213,BR16,Xihu,Takming University
18,港墘站,25.080038,121.575102,BR17,Gangqian,0
19,文德站,25.078548,121.585524,BR18,Wende,Bihu Park
20,內湖站,25.083496,121.594205,BR19,Neihu,0
21,大湖公園站,25.083009,121.605262,BR20,Dahu Park,0
22,葫洲站,25.072716,121.607155,BR21,Huzhou,0
23,東湖站,25.067126,121.611718,BR22,Donghu,0
24,南港軟體園區站,25.059942,121.615929,BR23,Nangang Software Park,0
25,小碧潭站,24.972008,121.530487,G03A,Xiaobitan,Xindian Senior High School
26,新店站,24.958940,121.538581,G01,Xindian,Bitan
27,新店市公所站,24.967386,121.541000,G02,Xindian District Office,0
28,七張站,24.974979,121.543102,G03,Qizhang,0
29,大坪林站,24.982786,121.541033,G04,Dapinglin,0
30,景美站,24.993524,121.540817,G05,Jingmei,0
31,萬隆站,24.999282,121.540237,G06,Wanlong,0
32,公館站,25.011943,121.537818,G07,Gongguan,National Taiwan University
33,臺電大樓站,25.017557,121.531394,G08,Taipower Building,0
34,古亭站,25.026134,121.522922,O05,Guting,0
35,中正紀念堂站,25.032729,121.518270,G10,Chiang Kai-Shek Memorial Hall,Nanmen
36,頂溪站,25.014218,121.515368,O04,Dingxi,0
37,永安市場站,25.002370,121.510948,O03,Yongan Market,0
38,景安站,24.993712,121.504615,O02,Jingan,0
39,南勢角站,24.989918,121.508850,O01,Nanshijiao,0
40,小南門站,25.035534,121.510880,G11,Xiaonanmen,0
41,臺大醫院站,25.042155,121.516285,R09,NTU Hospital,0
42,臺北車站,25.046264,121.517482,BL12,Taipei Main Station,0
43,中山站,25.052905,121.520341,G14,Zhongshan,0
44,雙連站,25.057902,121.520603,R12,Shuanglian,Mackay Memorial Hospital
45,民權西路站,25.062879,121.519346,O11,Minquan West Road,0
46,圓山站,25.071353,121.520118,R14,Yuanshan,0
47,劍潭站,25.084873,121.525077,R15,Jiantan,0
48,士林站,25.093535,121.526229,R16,Shilin,0
49,芝山站,25.103060,121.522514,R17,Zhishan,0
50,明德站,25.109720,121.518848,R18,Mingde,0
51,石牌站,25.114523,121.515559,R19,Shipai,Veterans General Hospital
52,唭哩岸站,25.120872,121.506252,R20,Qilian,0
53,奇岩站,25.126112,121.501007,R21,Qiyan,0
54,北投站,25.131305,121.499180,R22,Beitou,0
55,新北投站,25.136943,121.502649,R22A,Xinbeitou,0
56,復興崗站,25.138198,121.491851,R23,Fuxinggang,0
57,忠義站,25.131058,121.473226,R24,Zhongyi,0
58,關渡站,25.124923,121.465515,R25,Guandu,0
59,竹圍站,25.136558,121.460090,R26,Zhuwei,0
60,紅樹林站,25.154042,121.458871,R27,Hongshulin,0
61,淡水站,25.167817,121.445560,R28,Tamsui,0
62,頂埔站,24.959437,121.418874,BL01,Dingpu,0
63,永寧站,24.966803,121.436317,BL02,Yongning,0
64,土城站,24.973224,121.444157,BL03,Tucheng,0
65,海山站,24.985428,121.448608,BL04,Haishan,0
66,亞東醫院站,24.998037,121.452514,BL05,Far Eastern Hospital,0
67,府中站,25.008395,121.458948,BL06,Fuzhong,The Lin Family Mansion and Garden
68,板橋站,25.014600,121.462530,BL07,Banqiao,0
69,新埔站,25.024181,121.468229,BL08,Xinpu,0
70,江子翠站,25.030128,121.472356,BL09,Jiangzicui,0
71,龍山寺站,25.035279,121.499826,BL10,Longshan Temple,Bangka Commercial Zone
72,西門站,25.042120,121.507659,BL11,Ximen,0
73,善導寺站,25.044106,121.524231,BL13,Shandao Temple,Huashan
74,忠孝新生站,25.042443,121.533250,BL14,Zhongxiao Xinsheng,National Taipei University of Technology
75,忠孝敦化站,25.041622,121.551655,BL16,Zhongxiao Dunhua,0
